Model,MAE,RMSE,R2,MAPE,Dir_Acc,Sharpe,Profit_Factor
Naive,2.7406016916468516,4.007783016504334,0.9758492025233817,0.011761113513815391,0.5362318840579711,0.734099321496235,1.152656803813841
LinearRegression,2.7940760083087333,4.029913058714178,0.9755817560363995,0.011973158824217563,0.4975845410628019,0.8101781694395674,1.169777988583383
XGBoost,2.733184615401975,4.007222507115807,0.9758559572813503,0.011737913951943634,0.5362318840579711,0.734099321496235,1.152656803813841
